Text,Weight,Pos Tag
Follow,39,VB
Keep,35,VB
Call,30,VB
Check,29,VB
Want,25,VB
Wonder,21,VB
Give,19,VB
Think,16,VB
Come,15,VB
Try,14,VB
Send,13,VB
Welcome,11,VB
Kind,11,VB
Handle,11,VB
Open,10,VB
Run,10,VB
Provide,10,VB
Win,9,VB
Put,9,VB
Drink,9,VB
Gave,9,VB
Tell,9,VB
Raise,9,VB
Hold,8,VB
Stop,8,VB
Bring,8,VB
Leave,7,VB
Save,7,VB
Add,6,VB
Happen,6,VB
Ask,5,VB
Weekend,5,VB
Seem,5,VB
Improve,4,VB
Become,4,VB
Remember,4,VB
Continue,4,VB
Accept,4,VB
Read,4,VB
Spend,3,VB
Recommend,3,VB
Kept,3,VB
Buy,3,VB
Retrieve,3,VB
Believe,3,VB
Laptop,3,VB
Cake,2,VB
Brave,2,VB
Boyfriend,2,VB
Play,2,VB
Attended,35,VBD
Turned,3,VBD
Walked,2,VBD
Thing,21,VBG
Morning,19,VBG
Being,15,VBG
Having,12,VBG
Outstanding,10,VBG
Something,7,VBG
Responding,6,VBG
Listening,6,VBG
Wing,4,VBG
Switching,3,VBG
Moodlighting,2,VBG
Promoting,2,VBG
Greeting,2,VBG
Relaxing,2,VBG
Amazed,71,VBN
Made,49,VBN
Cancelled,30,VBN
Landed,20,VBN
Left,12,VBN
Lost,10,VBN
Confirmed,9,VBN
Frustrated,9,VBN
Flightled,9,VBN
Taken,8,VBN
Reserved,7,VBN
Informed,7,VBN
Tried,7,VBN
Resolved,6,VBN
Received,5,VBN
Managed,4,VBN
Killed,3,VBN
Assigned,3,VBN
Accomplished,3,VBN
Inspired,3,VBN
Refreshed,2,VBN
Unexpected,2,VBN
Averted,2,VBN
Solved,2,VBN
Whenever,3,WRB
